sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,0.6205990314483643,185
0,0,1,unlearning,0.3623058795928955,1785
0,0,0,original,0.43494629859924316,185
0,0,0,unlearning,0.3699953556060791,185
1,0,1,original,0.36967921257019043,185
1,0,1,unlearning,0.5103335380554199,1785
1,0,0,original,0.8694229125976562,185
1,0,0,unlearning,0.7395920753479004,185
2,0,1,original,0.7181963920593262,185
2,0,1,unlearning,0.8183181285858154,1785
2,0,0,original,0.6767244338989258,185
2,0,0,unlearning,0.8205044269561768,185
3,0,1,original,1.005157709121704,185
3,0,1,unlearning,1.0343141555786133,1785
3,0,0,original,0.9979643821716309,185
3,0,0,unlearning,1.0180323123931885,185
4,0,1,original,1.103048324584961,185
4,0,1,unlearning,0.9246459007263184,1785
4,0,0,original,0.9469671249389648,185
4,0,0,unlearning,0.9208965301513672,185
