sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,1.1371557712554932,199
0,0,1,unlearning,1.009032964706421,1785
0,0,0,original,1.0465037822723389,185
0,0,0,unlearning,0.9958515167236328,185
1,0,1,original,1.0867581367492676,189
1,0,1,unlearning,0.976198673248291,1785
1,0,0,original,0.9427638053894043,185
1,0,0,unlearning,1.0831146240234375,185
2,0,1,original,1.0504014492034912,185
2,0,1,unlearning,0.9479215145111084,1785
2,0,0,original,0.9189167022705078,185
2,0,0,unlearning,0.96492600440979,185
3,0,1,original,1.0883524417877197,185
3,0,1,unlearning,1.0443527698516846,1785
3,0,0,original,0.9600546360015869,185
3,0,0,unlearning,0.9877958297729492,185
4,0,1,original,0.9834043979644775,185
4,0,1,unlearning,1.17246413230896,1785
4,0,0,original,0.9820034503936768,185
4,0,0,unlearning,1.029996395111084,185
