sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,5.376539707183838,1222
0,0,1,unlearning,5.434185266494751,1239
0,0,0,original,6.149017572402954,1222
0,0,0,unlearning,6.554325103759766,1239
1,0,1,original,6.303511381149292,1222
1,0,1,unlearning,5.841170310974121,1222
1,0,0,original,6.362037658691406,1222
1,0,0,unlearning,5.923174619674683,1222
2,0,1,original,6.337690353393555,1222
2,0,1,unlearning,4.9578447341918945,1222
2,0,0,original,5.507429599761963,1222
2,0,0,unlearning,6.358738660812378,1222
3,0,1,original,6.725700616836548,1226
3,0,1,unlearning,5.669607400894165,1222
3,0,0,original,5.441500186920166,1226
3,0,0,unlearning,6.165958642959595,1222
4,0,1,original,11.676817893981934,1222
4,0,1,unlearning,10.922008991241455,1222
4,0,0,original,10.049108028411865,1222
4,0,0,unlearning,4.764434576034546,1222
