sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,36.94987440109253,1062
0,0,1,unlearning,35.5756938457489,1062
0,0,0,original,37.486862659454346,1062
0,0,0,unlearning,36.4002525806427,1062
0,1,1,original,38.47368335723877,2124
0,1,1,unlearning,39.39039063453674,1062
0,1,0,original,35.030871629714966,2124
0,1,0,unlearning,36.73212718963623,1062
0,17,1,original,57.19599771499634,2124
0,17,1,unlearning,70.44685244560242,1062
0,17,0,original,37.188284158706665,2124
0,17,0,unlearning,39.41378712654114,1062
0,19,1,original,39.475250005722046,2124
0,19,1,unlearning,35.40302014350891,1062
0,19,0,original,39.50900197029114,2124
0,19,0,unlearning,53.07316493988037,1062
1,0,1,original,92.76056838035583,1062
1,0,1,unlearning,105.61338520050049,1062
1,0,0,original,110.46644234657288,1062
1,0,0,unlearning,99.61972880363464,1062
1,3,1,original,104.87538051605225,2124
1,3,1,unlearning,102.00060176849365,1062
1,3,0,original,106.02559328079224,2124
1,3,0,unlearning,65.13544607162476,1062
1,17,1,original,37.74935817718506,2124
1,17,1,unlearning,38.06619620323181,1062
1,17,0,original,37.85154438018799,2124
1,17,0,unlearning,38.55726599693298,1062
1,19,1,original,37.49657416343689,2124
1,19,1,unlearning,42.55923390388489,1063
1,19,0,original,55.463223934173584,2124
1,19,0,unlearning,53.02833890914917,1063
2,0,1,original,56.19324517250061,1062
2,0,1,unlearning,55.770071506500244,1062
2,0,0,original,55.287107706069946,1062
2,0,0,unlearning,54.45227003097534,1062
2,3,1,original,54.781200647354126,2124
2,3,1,unlearning,42.89249801635742,1062
2,3,0,original,40.39975595474243,2124
2,3,0,unlearning,37.81372809410095,1062
2,9,1,original,38.7550892829895,2124
2,9,1,unlearning,37.04112958908081,1062
2,9,0,original,37.708751916885376,2124
2,9,0,unlearning,47.93898272514343,1062
3,0,1,original,41.069645404815674,1062
3,0,1,unlearning,38.29661583900452,1062
3,0,0,original,37.15686058998108,1062
3,0,0,unlearning,37.99500846862793,1062
3,2,1,original,38.17862820625305,2128
3,2,1,unlearning,38.40764760971069,1062
3,2,0,original,50.89175462722778,2128
3,2,0,unlearning,54.01545524597168,1062
3,7,1,original,52.82747507095337,2124
3,7,1,unlearning,55.29634881019592,1062
3,7,0,original,55.49123239517212,2124
3,7,0,unlearning,54.06499791145325,1062
3,8,1,original,55.95347785949707,2124
3,8,1,unlearning,53.800941467285156,1062
3,8,0,original,54.447033166885376,2124
3,8,0,unlearning,78.93523526191711,1062
3,9,1,original,81.26216650009155,2131
3,9,1,unlearning,73.38482141494751,1062
3,9,0,original,64.60559844970703,2131
3,9,0,unlearning,70.10324788093567,1062
4,0,1,original,76.53438305854797,1062
4,0,1,unlearning,74.85489630699158,1062
4,0,0,original,74.96197152137756,1062
4,0,0,unlearning,74.16683650016785,1062
4,3,1,original,74.8706316947937,2124
4,3,1,unlearning,76.1985912322998,1062
4,3,0,original,73.4635763168335,2124
4,3,0,unlearning,66.18951153755188,1062
