sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,0,1,original,5.730161190032959,1222
0,0,1,unlearning,6.199792146682739,1222
0,0,0,original,5.982524633407593,1222
0,0,0,unlearning,5.693416595458984,1222
1,0,1,original,5.717738151550293,1222
1,0,1,unlearning,5.901528596878052,1222
1,0,0,original,7.841531991958618,1222
1,0,0,unlearning,7.003380537033081,1222
2,0,1,original,5.626611948013306,1229
2,0,1,unlearning,6.675271034240723,1224
2,0,0,original,6.597988128662109,1229
2,0,0,unlearning,6.726984977722168,1224
3,0,1,original,5.5859761238098145,1222
3,0,1,unlearning,5.431118011474609,1222
3,0,0,original,5.4117162227630615,1222
3,0,0,unlearning,5.361633062362671,1222
4,0,1,original,5.558440685272217,1222
4,0,1,unlearning,5.64780068397522,1222
4,0,0,original,5.88473105430603,1222
4,0,0,unlearning,6.3347251415252686,1222
