sample_index,unlearning_set_index,label,model_type,elapsed_time_sec,query_count
0,1,1,original,29.88408350944519,24551
0,1,1,unlearning,26.141586303710938,24550
0,1,0,original,25.237138271331787,24549
0,1,0,unlearning,25.397023916244507,24549
0,2,1,original,26.321260690689087,24551
0,2,1,unlearning,24.817656993865967,24552
0,2,0,original,25.758180618286133,24549
0,2,0,unlearning,24.947324514389038,24549
0,3,1,original,24.68776249885559,24550
0,3,1,unlearning,24.141106843948364,24550
0,3,0,original,24.516056299209595,24549
0,3,0,unlearning,24.650322437286377,24550
0,4,1,original,24.730440616607666,24550
0,4,1,unlearning,23.9768226146698,24550
0,4,0,original,24.395343780517578,24549
0,4,0,unlearning,24.862144470214844,24549
0,5,1,original,26.421010971069336,24550
0,5,1,unlearning,25.651524543762207,24551
0,5,0,original,25.928269386291504,24549
0,5,0,unlearning,25.40631413459778,24549
0,6,1,original,24.578099012374878,24553
0,6,1,unlearning,24.223456859588623,24554
0,6,0,original,24.838821411132812,24549
0,6,0,unlearning,25.07205080986023,24549
0,7,1,original,25.390018701553345,24550
0,7,1,unlearning,25.353668689727783,24550
0,7,0,original,24.86841654777527,24549
0,7,0,unlearning,25.475526332855225,24549
0,8,1,original,24.520922899246216,24550
0,8,1,unlearning,25.102632999420166,24550
0,8,0,original,24.540190935134888,24549
0,8,0,unlearning,25.264292001724243,24549
0,9,1,original,25.256842851638794,24550
0,9,1,unlearning,24.68691110610962,24550
0,9,0,original,0.0,1
0,9,0,unlearning,0.015991926193237305,1
0,10,1,original,24.843154668807983,24550
0,10,1,unlearning,24.343690872192383,24550
0,10,0,original,24.785350561141968,24549
0,10,0,unlearning,23.980452060699463,24549
0,11,1,original,25.13100504875183,24554
0,11,1,unlearning,25.602967977523804,24550
0,11,0,original,24.865944385528564,24549
0,11,0,unlearning,24.552240133285522,24549
0,12,1,original,25.166690349578857,24550
0,12,1,unlearning,25.06846809387207,24550
0,12,0,original,24.75505232810974,24549
0,12,0,unlearning,24.79142165184021,24549
0,13,1,original,24.855032920837402,24550
0,13,1,unlearning,24.60166311264038,24551
0,13,0,original,24.877046823501587,24549
0,13,0,unlearning,24.76318597793579,24549
0,14,1,original,24.37537145614624,24550
0,14,1,unlearning,24.0628821849823,24550
0,14,0,original,24.59257435798645,24549
0,14,0,unlearning,24.469653606414795,24549
0,15,1,original,25.043728828430176,24550
0,15,1,unlearning,25.4056658744812,24550
0,15,0,original,24.953856468200684,24549
0,15,0,unlearning,24.390156984329224,24549
0,16,1,original,24.34319567680359,24550
0,16,1,unlearning,24.125868558883667,24550
0,16,0,original,24.30310082435608,24549
0,16,0,unlearning,24.571480751037598,24549
0,17,1,original,24.34092140197754,24550
0,17,1,unlearning,24.757195711135864,24550
0,17,0,original,24.55350971221924,24549
0,17,0,unlearning,25.05322527885437,24549
0,18,1,original,25.209848403930664,24550
0,18,1,unlearning,24.87219262123108,24550
0,18,0,original,24.79842495918274,24549
0,18,0,unlearning,24.717225790023804,24549
0,19,1,original,24.812242031097412,24550
0,19,1,unlearning,24.733988523483276,24552
0,19,0,original,24.249706506729126,24549
0,19,0,unlearning,24.640931844711304,24549
1,0,1,original,24.64182758331299,24550
1,0,1,unlearning,25.029272317886353,24550
1,0,0,original,25.06330943107605,24549
1,0,0,unlearning,24.53001832962036,24549
1,1,1,original,24.284091234207153,24551
1,1,1,unlearning,25.223327159881592,24550
1,1,0,original,24.997742176055908,24549
1,1,0,unlearning,24.390299320220947,24549
1,2,1,original,24.389967918395996,24550
1,2,1,unlearning,24.239441633224487,24550
1,2,0,original,24.196444988250732,24549
1,2,0,unlearning,24.58085322380066,24549
1,3,1,original,24.78011727333069,24550
1,3,1,unlearning,25.045183181762695,24551
1,3,0,original,24.656911849975586,24549
1,3,0,unlearning,24.63052463531494,24549
1,4,1,original,25.444634437561035,24550
1,4,1,unlearning,25.73866367340088,24550
1,4,0,original,25.592867612838745,24550
1,4,0,unlearning,24.928696870803833,24550
1,5,1,original,24.56162452697754,24550
1,5,1,unlearning,24.31992506980896,24550
1,5,0,original,25.19061517715454,24549
1,5,0,unlearning,24.51675581932068,24549
1,6,1,original,24.73391556739807,24550
1,6,1,unlearning,24.690871000289917,24550
1,6,0,original,24.792375802993774,24549
1,6,0,unlearning,24.34298300743103,24549
1,7,1,original,25.687164783477783,24550
1,7,1,unlearning,25.468976497650146,24550
1,7,0,original,25.797243118286133,24549
1,7,0,unlearning,24.46754288673401,24549
1,8,1,original,24.571836471557617,24550
1,8,1,unlearning,24.523037672042847,24551
1,8,0,original,24.373594045639038,24549
1,8,0,unlearning,24.281349420547485,24549
1,9,1,original,24.47961187362671,24550
1,9,1,unlearning,24.168521642684937,24550
1,9,0,original,24.391213417053223,24549
1,9,0,unlearning,24.53169560432434,24549
1,10,1,original,24.633814334869385,24551
1,10,1,unlearning,24.807992696762085,24550
1,10,0,original,25.10576343536377,24551
1,10,0,unlearning,24.92109227180481,24549
1,11,1,original,25.358479499816895,24550
1,11,1,unlearning,25.368645191192627,24550
1,11,0,original,25.469042778015137,24549
1,11,0,unlearning,25.437299013137817,24549
1,12,1,original,25.577710151672363,24550
1,12,1,unlearning,25.215643405914307,24552
1,12,0,original,25.265461921691895,24549
1,12,0,unlearning,24.970120429992676,24549
1,13,1,original,25.045588493347168,24550
1,13,1,unlearning,24.922322511672974,24550
1,13,0,original,25.030973196029663,24549
1,13,0,unlearning,24.427780866622925,24549
1,14,1,original,23.98835277557373,24550
1,14,1,unlearning,24.517759323120117,24550
1,14,0,original,24.593568086624146,24549
1,14,0,unlearning,24.67164134979248,24549
1,15,1,original,24.883370399475098,24550
1,15,1,unlearning,25.593974590301514,24551
1,15,0,original,25.45763373374939,24549
1,15,0,unlearning,25.37846350669861,24549
1,16,1,original,25.608258485794067,24550
1,16,1,unlearning,26.633552074432373,24550
1,16,0,original,25.906590700149536,24549
1,16,0,unlearning,24.89328098297119,24549
1,17,1,original,24.932998418807983,24550
1,17,1,unlearning,24.821749687194824,24551
1,17,0,original,24.202152490615845,24549
1,17,0,unlearning,24.19332790374756,24551
1,18,1,original,24.200304746627808,24550
1,18,1,unlearning,24.452927589416504,24550
1,18,0,original,24.219748497009277,24549
1,18,0,unlearning,24.108081579208374,24549
1,19,1,original,25.405354499816895,24550
1,19,1,unlearning,25.372861862182617,24550
1,19,0,original,25.657259941101074,24549
